job_title,company_name,company_size,location,work_type,work_setting,career_level,education_level,skills_and_tools,job_description,job_requirements,posted_at,url,company_size_min,company_size_max,company_size_avg,min_experience_years,max_experience_years,salary_min,salary_max,salary_currency,salary_period,city,country
Senior PHP Developer & Technical Lead,BimmerTech,Unknown,"Dubai, United Arab Emirates",['Full Time'],On-Site,Experienced (Non-Manager),Not Specified,"['Information Technology (IT)', 'Computer Science', 'Software Development', 'javaScript', 'Software Engineering', 'CSS', 'HTML', 'Engineering', 'PHP', 'SQL', 'MVC', 'Web Development', 'Computer Engineering', 'jQuery', 'HTML5', 'C#', 'Git', '.NET', 'Angular', 'MySQL']","About The RoleWe are seeking a highly skilled and experienced Senior PHP Developer & Technical lead to join our development team. The ideal candidate will have a deep understanding of backend development skills with DevOps expertise and team leadership. This is a high-responsibility role suited for someone who takes ownership of delivery, architecture, and reliability.Key ResponsibilitiesLead the backend development team on large Symfony/Sylius -based eCommerce projects  Architect, design, and develop scalable and secure systems using PHP, Symfony, and Sylius Take ownership of project delivery timelines, team performance, and code quality. Manage and optimize infrastructure in collaboration with (or independently) as the DevOps lead. Set up and maintain CI/CD pipelines, monitoring tools, and deployment automation. Troubleshoot complex server-side issues and prevent bottlenecks. Implement and enforce best practices for code structure, performance, and security. Collaborate product owners, designers, and frontend developers to align project goals Mentor junior developers, conduct reviews, and improve team capability. Requirements5+ years of experience with PHP, including deep Knowlege of Symfony Bachelor’s / master's degree in computer science, Software Engineering, or a related field Hands-on experience with Sylius or Symfony-based eCommerce platforms. Proven ability to manage infrastructure (Linux, Nginx, MySQL, Redis, queues, etc.). Strong understanding and application of DevOps principles, you will lead automation, reliability, and delivery workflows Leadership experience. able to lead a team assign tasks, ensure timely delivery, and maintain high standards. Deep Knowledge of web application security and modern backend practices Comfortable handling version control (Git), deployment processes, and production issues. Excellent communication and problem-solving skills. Preferred SkillsExperience with Symfony & Laravel Familiarity with Vue.js/Nuxt.js, Ducker, Kubernetes, Terraform, or cloud platforms (AWS, GOP ) Prior experience with headless eCommerce. Exposure to agile methodologies and project tracking tools (e.g. Jira, Trello) Why Join us?Work on exciting projects. Opportunity to collaborate with a dynamic and talented team. Competitive salary packages and comprehensive benefits. Supportive work environment with growth and innovation opportunities.",Unknown,2026-03-13 03:16:38,https://wuzzuf.net/jobs/p/g/ajjdkzlo2r3d-senior-php-developer-technical-lead-bimmertech-dubai-united-arab-emirates,76,76,76,3.0,6.0,,,,,Dubai,United Arab Emirates
Technical Support Engineer II - Fluent French,Docusign,More than 1000 employees,"Cairo, Egypt",['Full Time'],Remote,Experienced (Non-Manager),Bachelor's Degree,"['Engineering', 'Information Technology (IT)', 'Technical Support', 'SaaS', 'XML', 'JSON', 'Wireshark', 'Fiddler', 'Salesforce', 'SQL', 'Computer Science', 'Python', 'jQuery']","Technical Support Engineer II - eSign - Fluent French   &nbsp;  Help French-speaking customers across Europe and beyond keep their most important agreements moving with Docusign eSignature.  &nbsp;   Why this role matters   Every day, organizations rely on Docusign so their deals, HR offers, and critical agreements can be signed quickly and securely. As a  French-speaking Technical Support Engineer  based in Egypt, you are both a strategic customer advisor and the internal voice of our French-speaking customers. You’ll work with a truly global team and will use your fluent French and strong English daily to take ownership of complex technical cases, collaborate across teams, and help customers get maximum value from Docusign eSignature.&nbsp; &nbsp;   What you'll do    Provide outstanding technical support for Docusign eSignature (eSign) and associated services.  Handle inbound support requests and troubleshoot issues such as sending/signing envelopes, digital signatures, templates, bulk sending, and use of the eSignature web app.  Use your broad product and technical knowledge to drive adoption and help customers get more from Docusign.  Work hands-on with tools such as Salesforce, Jira, Docusign logging systems, SharePoint, internal admin consoles, browser developer tools, SQL and text analysis tools.  Investigate and identify bugs, product gaps and high‑impact improvements to enhance the overall customer experience.  Promote Docusign products and services through consultative conversations based on customer needs.  Handle escalated cases from internal teams to resolve complex issues.  Support internal peers with product knowledge, troubleshooting approaches and best‑practice engagement paths.  Meet and exceed Docusign Customer Support service level goals for your eSign areas of expertise. &nbsp;   You’ll report to a Manager, Technical Support and work closely with Support, Engineering, Product, Customer Success and Sales.  &nbsp;   How you’ll work    Job designation: Remote (Egypt)  You’ll work from a designated remote location in Egypt, collaborating virtually with teammates and customers across time zones. Roles at Docusign are designated as In Office, Hybrid or Remote based on the position; designations may change over time in line with business needs and local law.","What you bring       Your core strengths:     Fluent French with strong English (written and spoken) for daily collaboration across global teams.  Bachelor’s degree in Computer Science, Engineering or a related field, or equivalent hands‑on experience in a technical support environment.   2+ years troubleshooting SaaS products in a Technical Support (or similar) role, preferably in a customer-facing capacity.  Comfortable working with web-based environments (HTTP, JSON, IIS, HTML, CSS) and at least some of: XML, C#, Python, PHP, JavaScript, jQuery.  Confident using log and network analysis tools (e.g. Wireshark, Fiddler, Charles Proxy, browser developer tools) to get to the root cause.  Exposure to Salesforce administration, Microsoft, Dynamics and/or SharePoint administration.        Nice to Have:     Deeper technical skills such as regular expressions, web service APIs, SQL / SOQL, Dynatrace or other monitoring tools, and authentication technologies like SAML and OAuth.  Industry experience in sectors where Docusign provides solutions.  Experience supporting Docusign eSignature or similar eSignature / agreement platforms, and familiarity with Docusign user models.  Strong communication skills with customers, peers and occasional executive stakeholders, especially in high‑pressure situations.  Certifications or experience such as Salesforce Admin, Microsoft System Administration, or Windows PowerShell scripting",2026-03-13 16:00:03,https://wuzzuf.net/jobs/p/hxkq0hqjsym4-technical-support-engineer-ii-fluent-french-docusign-cairo-egypt,1000,1000,1000,2.0,5.0,363300.0,525000.0,EGP,Year,Cairo,Egypt
RFID Systems Engineer,Exab,11-50 employees,"Cairo, Egypt",['Full Time'],On-Site,Experienced (Non-Manager),Not Specified,"['RFID', 'Information Technology (IT)', 'Engineering', 'Computer Engineering', 'Systems Engineering', 'Computer Science', 'Library Systems', 'Low Current Systems (LC)', 'Network Engineering', 'Database Management', 'System Integration', 'Troubleshooting', 'Technical Documentation', 'Project Management', 'Communication Skills']","We are seeking a highly experienced  RFID Solutions Architect &amp; Implementation Lead  to design, deploy, and optimize RFID systems across our library infrastructure. This role combines strategic system architecture, hands-on technical implementation, and project leadership.  The ideal candidate will lead the end-to-end RFID deployment for library and archival environments, including system design, hardware configuration, software integration, and operational optimization. You will work closely with IT teams, engineers, and library stakeholders to ensure seamless integration with existing systems and deliver a reliable RFID-enabled ecosystem.   *Key Responsibilities*   &nbsp;  RFID System Architecture &amp; Design   Design the complete  RFID system architecture  for library environments including security gates, self-check stations, handheld scanners, and RFID detection systems.  Conduct  site surveys and technical assessments  to determine optimal placement of RFID hardware.  Define technical specifications for RFID components including  tags, readers, antennas, controllers, and middleware .  Develop scalable solutions that support large collections and multi-site library deployments. &nbsp;   Implementation &amp; Deployment   Lead the  installation, configuration, and commissioning  of RFID systems across library locations.  Configure RFID tags and ensure proper tagging strategies for books, manuscripts, and archival materials.  Implement RFID hardware including  gates, readers, antennas, handheld devices, and detectors .  Perform system testing, troubleshooting, and performance optimization.   System Integration   Integrate RFID systems with  Library Management Systems (LMS)  and enterprise platforms.  Ensure compatibility with databases and enterprise systems such as  ERP and Business Applications .  Support customization and system development using programming languages such as  C# or Java  when required.  Ensure reliable data exchange between RFID systems and backend databases.   Technical Support &amp; Training   Provide  technical guidance and operational training  to library and IT staff.  Develop detailed  technical documentation, system diagrams, and operational procedures .  Provide ongoing  system monitoring, maintenance, and troubleshooting support .   Project Management   Develop and manage a  comprehensive RFID implementation roadmap .  Coordinate with stakeholders, vendors, and technical teams throughout the project lifecycle.  Track project KPIs, timelines, and deliverables to ensure successful deployment.  Identify project risks and implement mitigation strategies.   Standards &amp; Compliance   Ensure compliance with international RFID standards including  ISO/IEC 18000 and EPCglobal .  Follow industry best practices for RFID implementation, security, and system reliability.","Required Qualifications   Proven experience in  RFID system design and implementation , preferably within  library, archival, or asset tracking environments .  Strong understanding of RFID hardware including  tags, readers, antennas, gates, and handheld scanners .  Experience integrating RFID solutions with  enterprise systems and databases (SQL) .  Technical proficiency in  system integration and software customization .  Knowledge of programming languages such as  C#, Java, or similar .  Strong project management and stakeholder coordination skills.  Excellent  Arabic and English communication skills , both written and verbal.   Preferred Qualifications   Experience with digital library platforms such as  Koha, DSpace, or OJS .  Experience deploying RFID systems in  large-scale or multi-site environments .  Knowledge of  IoT technologies and wireless communication protocols .  Experience with  system testing, troubleshooting, and performance optimization .  Project management certifications such as  PMP or Prince2  are an advantage.   Key Performance Indicators (KPIs)   Successful deployment of RFID systems across targeted library locations within planned timelines.  Improved  inventory tracking accuracy and operational efficiency .  Reduction in  manual processing errors and processing time .  Positive  user adoption and operational feedback .  Complete and accurate  technical documentation and training materials .",2026-03-14 02:35:34,https://wuzzuf.net/jobs/p/qtzeybxkyu5v-rfid-systems-engineer-exab-cairo-egypt,11,50,30,5.0,10.0,,,,,Cairo,Egypt
AI Engineer (LLM & AI Applications),Exab,11-50 employees,"Cairo, Egypt",['Full Time'],On-Site,Experienced (Non-Manager),Not Specified,"['AI', 'Computer Science', 'Engineering', 'Information Technology (IT)', 'Data Science', 'LLMs (Large Language Models)', 'Python', 'Machine Learning', 'Deep Learning', 'Natural Language Processing (NLP)', 'TensorFlow', 'PyTorch', 'AI Application Development', 'Web Scraping', 'Data Analysis']","Unlock the Future of AI in Cairo!   Are you a passionate and experienced AI Engineer ready to shape the next generation of AI applications? Join our dynamic team in  Cairo, Egypt , and be at the forefront of innovation. We are seeking a talented  AI Engineer  to develop and deploy cutting-edge solutions using Large Language Models (LLMs) and other advanced AI technologies. &nbsp;   What You'll Do:    Design, develop, and implement AI applications leveraging LLMs.  Conduct research and experiment with new AI/ML models and algorithms.  Utilize  Python ,  TensorFlow , and  PyTorch  to build and deploy AI solutions.  Collaborate with cross-functional teams to integrate AI into existing products and services.  Perform  web scraping  to gather and preprocess data for model training.  Analyze data and identify opportunities to improve model performance.  Stay current with the latest advancements in AI, Machine Learning, and NLP. &nbsp;    Why Join Us?   This is an  on-site  opportunity to work on impactful projects that directly contribute to our company's success. You'll be part of a collaborative and supportive culture that encourages innovation and personal growth. We offer competitive compensation, opportunities for professional development, and a chance to make a real difference in the world of AI.   Impact:  Your work will directly influence the development of innovative AI solutions, enhancing our products and services and driving business growth.","Your Expertise:     Experience:  3-7 years of proven experience in AI, Machine Learning, or a related field.   Education:  Bachelor's or Master's degree in  Computer Science ,  Engineering ,  Data Science , or a related field.   Technical Skills:  Strong proficiency in  Python ,  TensorFlow ,  PyTorch , and other relevant AI/ML frameworks.   LLMs:  Hands-on experience with Large Language Models and their application in real-world scenarios.   NLP:  Solid understanding of Natural Language Processing techniques.   AI Application Development:  Experience in developing and deploying AI applications from concept to production.   Web Scraping:  Proficiency in web scraping techniques for data collection.   Analytical Skills:  Strong analytical and problem-solving skills.",2026-03-14 02:43:30,https://wuzzuf.net/jobs/p/zswfgfcppaym-ai-engineer-llm-ai-applications-exab-cairo-egypt,11,50,30,3.0,7.0,,,,,Cairo,Egypt
Senior Web Designer,Kraken,Unknown,"Dubai, United Arab Emirates",['Full Time'],On-Site,Not Specified,Not Specified,"['Design', 'Adobe Photoshop', 'Adobe Illustrator', 'Graphic Design', 'Information Technology (IT)', 'Computer Science', 'Adobe Indesign', 'Web Design', 'HTML', 'CSS', 'UX', 'UI', 'javaScript', 'Web Development', 'Software Development', 'Engineering', 'HTML5', 'Software Engineering', 'CSS3', 'Marketing']","Building the Future of Crypto Our Krakenites are a world-class team with crypto conviction, united by our desire to discover and unlock the potential of crypto and blockchain technology.What makes us different?Kraken is a mission-focused company rooted in crypto values. As a Krakenite, you’ll join us on our mission to accelerate the global adoption of crypto, so that everyone can achieve financial freedom and inclusion. For over a decade, Kraken’s focus on our mission and crypto ethos has attracted many of the most talented crypto experts in the world.Before you apply, please read the Kraken Culture page to learn more about our internal culture, values, and mission. We also expect candidates to familiarize themselves with the Kraken app. Learn how to create a Kraken account here.As a fully remote company, we have Krakenites in 70+ countries who speak over 50 languages. Krakenites are industry pioneers who develop premium crypto products for experienced traders, institutions, and newcomers to the space. Kraken is committed to industry-leading security, crypto education, and world-class client support through our products like Kraken Pro, Desktop, Wallet, and Kraken Futures.Become a Krakenite and build the future of crypto!Proof of workThe teamWe’re a multidisciplinary team of designers and coders who bring front-end web experiences to life. We craft not just beautiful interfaces but functional, high-performance experiences that feel effortless in the browser. From fluid animations to pixel-perfect layouts, we obsess over the details that make the web feel intuitive and engaging.We’re not just pushing pixels, we’re pushing boundaries. We need the rare hybrids: designers who don’t just envision, but build. Whether it’s with HTML, CSS, JavaScript, or cutting-edge animations, you’ll be at the helm of your designs from concept to execution.If you love the challenge of designing for the web-where creativity meets performance and interaction—we’d love to have you on the teamThe opportunityLead the creation of essential web experiences and marketing pages that are designed to drive customer engagement and conversion.Create high quality, delightful experiences with designers, researchers, product managers, content specialists, and engineersBalance business objectives, customer needs, insights and technical constraints to produce data-informed outcomesTake concepts from research, to exploration, to prototypes, to productionActively participate in design reviews both seeking and giving meaningful and supportive feedbackTake full accountability for your work and exercise consideration of every detailContribute to the definition and expansion of new and existing design systemsUtilize data to drive brand strategy and product growth; analyze and interpret data to create compelling concepts and presentations, sharing insights with executives to shape and propel our brand forward.Skills You Should HODLA Portfolio that Speaks Volumes: Show us the best of your portfolio which highlights your commitment to design quality, standards, and optimization.Technical Design Insight: More than mastering Figma, you possess a keen understanding of how design integrates with code. Familiarity with HTML & CSS is essential, and experience with React + JSON is a welcome bonus but not required. While we don't expect you to write production-ready code (it’s certainly a bonus if you can), your awareness of what's technically feasible in web, along with optimization for performance, is vital to our team's success.Understanding of UI/UX for front-facing consumer websites: Proficient in creating user-centered designs that align with marketing goals, with a keen understanding of user experience (UX) and user interface (UI) principles.Information Architecture Awareness: Demonstrated ability to structure and organize web content, creating intuitive navigation and positive user experiences.Adherence to Standards: A firm grasp of W3C standards, ensuring that designs comply with industry guidelines and best practices for accessibility, usability, and cross-browser compatibility.Collaborative Spirit and Open-Minded Approach: Thrive in our evolving design team, with an emphasis on continuous learning and egoless collaboration.History of Satisfied Collaborations: Demonstrate a track record of successful partnerships with colleagues who would eagerly work with you again.Unless a specific application deadline is stated in the job posting, applications are accepted on an ongoing basis.Please note, applicants are permitted to redact or remove information on their resume that identifies age, date of birth, or dates of attendance at or graduation from an educational institution.We consider qualified applicants with criminal histories for employment on our team, assessing candidates in a manner consistent with the requirements of the San Francisco Fair Chance Ordinance.Kraken is powered by people from around the world and we celebrate all Krakenites for their diverse talents, backgrounds, contributions and unique perspectives. We hire strictly based on merit, meaning we seek out the candidates with the right abilities, knowledge, and skills considered the most suitable for the job. We encourage you to apply for roles where you don't fully meet the listed requirements, especially if you're passionate or knowledgable about crypto!We may ask candidates to complete job-related skills or work-style assessments as part of our hiring process. These assessments are designed to evaluate competencies relevant to the role and are applied consistently across candidates for similar positions. Assessment results are considered alongside other relevant information, such as experience and interviews, and are not the sole basis for any employment decision.As an equal opportunity employer, we don’t tolerate discrimination or harassment of any kind. Whether that’s based on race, ethnicity, age, gender identity, citizenship, religion, sexual orientation, disability, pregnancy, veteran status or any other protected characteristic as outlined by federal, state or local laws.Stay in the knowFollow us on TwitterLearn on the Kraken BlogConnect on LinkedInCandidate Privacy Notice",Unknown,2026-03-14 15:28:33,https://wuzzuf.net/jobs/p/g/p74uh1catezc-senior-web-designer-kraken-dubai-united-arab-emirates,76,76,76,3.0,6.0,,,,,Dubai,United Arab Emirates
Data Analyst,YO IT Consulting,Unknown,"Dubai, United Arab Emirates",['Full Time'],On-Site,Not Specified,Not Specified,"['Data Analysis', 'Analysis', 'Computer Science', 'Information Technology (IT)', 'SQL', 'Microsoft Office', 'Microsoft Excel', 'Data Analyst', 'Research', 'Business Analysis', 'Economics', 'Engineering', 'Python', 'Computer Skills', 'Data', 'English', 'Tableau', 'Commerce', 'Finance', 'Statistics']","Join our Business Intelligence Analyst Expert Network to connect with leading AI labs and companies seeking your expertise. This is an open application for future contract opportunities that match your background and interests.Once you complete your profile and pass our AI interview, you'll be eligible for relevant projects as they become available. We match experts to opportunities on a rolling basis.What We're Looking ForProfessional experience in SQL & data querying, data visualization (Tableau/Power BI), data modeling & warehousing Strong communication skills Ability to work independently in a remote environment How It WorksThis is not a specific job posting. By applying, you're joining our Business Intelligence Analyst talent network.Apply once: Complete your profile by uploading your resume and confirming your work location. Get verified: We review your credentials and approve qualified experts. Stay connected: When projects need Business Intelligence Analyst expertise, we match you to opportunities based on your expertise and project needs. Start working: Be invited to interview for opportunities that align with your schedule and interests. You will earn competitive rates while working remotely on your own schedule. We consider all qualified applicants without regard to legally protected characteristics and provide reasonable accommodations upon request.Contract and Payment TermsYou will be engaged as an independent contractor.This is a fully remote role that can be completed on your own schedule.Projects can be extended, shortened, or concluded early depending on needs and performance.Payments are weekly on Stripe or Wise based on services rendered.",Unknown,2026-03-14 16:12:46,https://wuzzuf.net/jobs/p/g/nejykylv2pia-data-analyst-yo-it-consulting-dubai-united-arab-emirates,76,76,76,3.0,6.0,,,,,Dubai,United Arab Emirates
Senior Mobile Developer / Engineer (m/f/d),Halian,Unknown,"Dubai, United Arab Emirates",['Full Time'],On-Site,Experienced (Non-Manager),Not Specified,"['Information Technology (IT)', 'Computer Science', 'Software Development', 'iOS', 'Software Engineering', 'Mobile Development', 'Android', 'Engineering', 'Java', 'Swift', 'JSON', 'Computer Engineering', 'Objective-C', 'javaScript', 'React', 'REST', 'SQL', 'Git', 'Programming', 'CSS']","About This RoleJoin our mobile development team as a Senior React Native Developer, where you’ll lead the React Native development initiatives for our fintech platform. This pivotal role focuses on crafting intuitive, engaging, and visually appealing mobile interfaces that align with strategic business goals. You’ll be responsible for developing cross-platform mobile applications that deliver exceptional user experiences for financial services.Roles And ResponsibilitiesPrimary ResponsibilitiesMobile Application Development: Build and maintain React Native applications for iOS and Android, with a focus on financial services functionality. Product Strategy: Drive the design process from concept to implementation, ensuring high-quality, user-centered solutions. Design Leadership: Define and lead the product design vision, strategy, and roadmap in alignment with business goals. Design Systems: Establish and maintain comprehensive design systems and standards for React Native to ensure consistency and quality. User Research: Conduct user research, analyze feedback, and use analytics to inform design decisions for financial products. Cross-Functional Collaboration: Lead meetings, workshops, and updates to ensure transparency and alignment across teams. Team Leadership: Mentor and guide a team of designers, providing feedback and professional development opportunities. Technical Communication: Clearly communicate design concepts and guidelines across diverse teams to ensure alignment. QualificationsRequired QualificationsEducationBachelor’s degree in Computer Science, Engineering, or a related field (minimum). Advanced degree in mobile development or software engineering (preferred). ExperienceMinimum 5 years of professional experience developing mobile applications for iOS and Android. Experience in fintech or financial services mobile applications (preferred). Proven track record in React Native development with leadership responsibilities. Technical SkillsCore Technologies:React Native – Expert level JavaScript & TypeScript – Expert level Related libraries and tools Mobile Development:iOS and Android platform development Mobile UI/UX principles and best practices  RESTful APIs and mobile security protocols Tools & Platforms:Git (version control)  Cross-platform development frameworks Halian Group: With over 28 years of experience, we have come to understand that innovation is the only way to provide agile, practical solutions that transform businesses and careers. Our resourcing and smart services help you to realize tomorrow’s potential. Discover the amazing things possible when you bring the right people and the right technologies together.At Halian, we recognize that diversity, equity, and inclusion (DEI) are essential to building high-performing teams for our clients. We are committed to connecting organizations with top talent from all backgrounds, ensuring that every individual feels valued, respected, and empowered to contribute their unique perspectives. We encourage applications from all qualified candidates, regardless of race, gender, disability, or any other characteristic that makes them unique. By fostering diverse and inclusive workplaces, we help our clients drive innovation, enhance collaboration, and better reflect the communities they serve.Excellent communication and interpersonal skills Strong leadership and team-building abilities Problem-solving mindset with attention to detail Collaborative approach in cross-functional environments Certifications in React Native and iOS/Android development Experience with additional mobile frameworks (Swift, Kotlin, Flutter) Knowledge of backend technologies (Node.js, Express.js, Django) Familiarity with mobile app store deployment and management Understanding of financial services mobile app requirements Experience with mobile security best practices for financial applications Knowledge of mobile banking and payment system integrations Senior Mobile Developer / Engineer in Abu Dhabi, United Arab Emirates",Unknown,2026-03-12 09:31:40,https://wuzzuf.net/jobs/p/g/uaicirq5sxie-senior-mobile-developer-engineer-mfd-halian-dubai-united-arab-emirates,76,76,76,3.0,6.0,,,,,Dubai,United Arab Emirates
Network Security Engineer,Modern Mills Company,Unknown,"Makkah, Saudi Arabia",['Full Time'],On-Site,Experienced (Non-Manager),Not Specified,"['Information Technology (IT)', 'Computer Science', 'Engineering', 'Networking', 'Computer Engineering', 'CCNA', 'Networks', 'Security', 'CCNP', 'Installation', 'Cisco', 'Network Administration', 'Software Engineering', 'Network Security', 'Troubleshooting', 'Maintenance', 'Network', 'Telecommunication', 'Software Development', 'Sales']","Job purposeThe Network Security Engineer is responsible for securing the organization’s network infrastructure by implementing, managing, and monitoring security systems. The role ensures the protection of networks, systems, and data from cyber threats while maintaining compliance with internal security policies and industry standards.Key AccountabilitiesDesign, implement, and manage network security solutions (firewalls, VPNs, IDS/IPS).Administer and manage Fortinet solutions (FortiGate, FortiMail, etc.).Monitor network traffic and security alerts using SIEM tools.Identify vulnerabilities and implement remediation plans.Perform regular security assessments and penetration testing coordination.Manage and enforce security policies, rules, and access controls.Investigate and respond to security incidents.Ensure compliance with cybersecurity frameworks and standards.Collaborate with IT teams to secure infrastructure and applications.Maintain documentation for security configurations and procedures.What We’re Looking ForStrong experience with network security technologies such as Firewalls, VPN, and IDS/IPS.Hands-on experience with Fortinet solutions (FortiGate, FortiMail).Solid knowledge of networking fundamentals including TCP/IP, routing, and switching.Experience with SIEM platforms and security monitoring tools.Good understanding of cybersecurity principles including threats, vulnerabilities, and risk management.Strong analytical and troubleshooting skills.Relevant certifications such as Fortinet NSE, CEH, or CompTIA Security+ are an advantage.Experience with cloud security environments (Azure or AWS) is preferred.Exposure to SOC operations or incident response activities.Familiarity with security and compliance standards such as ISO 27001, NCA, or similar frameworks.What Sets Us ApartCareer Growth & Learning: Structured training, mentorship, and cross-functional development opportunities.Meaningful Work: Contribute to initiatives supporting food security, sustainability, and digital transformation.Inclusive Culture: Work in a collaborative environment where ideas are valued, teamwork thrives, and a positive culture inspires success.Compensation & Benefits: Competitive salary, comprehensive medical and life insurance, health benefits, and programs that support work-life balance.Innovation & Impact: Access to advanced technology, process automation, and modern operations that drive operational excellence.",Unknown,2026-03-14 19:15:03,https://wuzzuf.net/saudi/jobs/p/g/1ba9cmvlxqgf-network-security-engineer-modern-mills-company-makkah-saudi-arabia,76,76,76,3.0,6.0,,,,,Makkah,Saudi Arabia
Software Engineer - Ukranian (Remote),Quik Hire Staffing,Unknown,"Dubai, United Arab Emirates",['Freelance / Project'],On-Site,Not Specified,Not Specified,"['Information Technology (IT)', 'Computer Science', 'Software Development', 'Software Engineering', 'Engineering', 'Computer Engineering', 'Software', 'javaScript', 'SQL', 'HTML', 'CSS', 'Web Development', 'MVC', 'C#', 'Agile', 'PHP', 'Java', '.NET', 'HTML5', 'jQuery']","Top 1% Coders Needed - Shape AI future with expert code review & training dataRole: Software Engineer - Ukranian (Remote)Location: Global RemoteType: Flexible Hourly Contractor | $16-32.50 USD/hr | Weekly PayPal/AirTMRequired: Indonesian + English proficiency requiredCreate training data and provide expert feedback to enhance coding model performance across Java, Python, JavaScript/TypeScript, C++, Swift, and Verilog.Key Responsibilities:Code Review & RankingAnalyse AI-generated solutions across multiple languagesRank accuracy, efficiency, and best practices against expert standardsIdentify edge cases, optimisation failures, and common pitfallsTraining Dataset CreationWrite CS prompts and generate reference solutionsDocument reasoning, algorithms, and implementation choicesCreate evaluation datasets teaching proper coding patternsBilingual Technical DocumentationProvide detailed feedback explaining code issues and fixesArticulate complex concepts fluently in Indonesian + EnglishDocument optimisation techniques and problem-solving approachesRequired Skills & QualificationsCS Bachelor's degree or higherExpert in 2+ languages: Java/Python/JS/TS/C++/Swift/VerilogNative/Fluent Indonesian + Advanced English technical writingCompetitive programming or code review experienceStrong debugging and optimisation skillsEqual Opportunity Employer:We hire based on skills and expertise. All qualified candidates are welcome regardless of background, experience, or prior employment history. Applications are reviewed solely on demonstrated technical ability and qualifications.Apply Now!",Unknown,2026-03-15 11:19:58,https://wuzzuf.net/jobs/p/g/mj3qn1fsnaoz-software-engineer-ukranian-remote-quik-hire-staffing-dubai-united-arab-emirates,76,76,76,3.0,6.0,,,,,Dubai,United Arab Emirates
SAP FICO Consultant,Cairoscan,More than 1000 employees,"Mohandessin, Giza, Egypt",['Full Time'],On-Site,Experienced (Non-Manager),Bachelor's Degree,"['ABAP', 'Accounting', 'Computer Science', 'ERP', 'Fi', 'Financial', 'Information Technology (IT)', 'Management', 'Integration', 'SAP', 'Mm', 'PP', 'SAP FICO']",Understanding the business requirement of the organization  Preparation of Blue print for implementing the project.  Implementation of the project.  Validate the reports requirements  Validate any changes in customize.  Provide training to end-user.  Sort out day to day queries of end users.  Enhancement of the SAP for end user based on requirement.,"Least of 3 years of SAP experience in addition to at least 3 of the accompanying capacities: Accounts Payable, Accounts Receivable, Financial Accounting   ,   Fixed Asset Accounting, Inter-company Accounting, Project System, Management Accounting.  Must be results-oriented.  Involvement with FI  integration focuses on other   SAP-based ERP modules   like MM, HR, PP, and PM.  Capacity to perform multiple tasks and deal with different expectations and undertakings simultaneously.",2026-03-15 11:21:43,https://wuzzuf.net/jobs/p/d8fdfsn55yij-sap-fico-consultant-cairoscan-giza-egypt,1000,1000,1000,3.0,6.0,,,,,Giza,Egypt
Senior Business Analyst,Youxel,101-500 employees,"Cairo, Egypt",['Full Time'],Hybrid,Experienced (Non-Manager),Bachelor's Degree,"['Business Analysis', 'Information Technology (IT)', 'Engineering', 'Software Development', 'Software', 'Software Engineering', 'Computer Science', 'Computer Engineering', 'Agile', 'Analysis']","Responsibilities  &nbsp;   Hold requirements gathering sessions with different stakeholders&nbsp;  Gather business, functional and nonfunctional requirements&nbsp;  Arrange, prioritize and negotiate requirements with different stakeholders&nbsp;  Translate business requirements into detailed functional requirements&nbsp;  Develop epics, user stories and product features&nbsp;  Document requirements using approved company templates&nbsp;  Work closely with UX team to deliver needed requirements&nbsp;  Generate prototypes if needed&nbsp;  Manage product backlog&nbsp;  Hold requirements review meetings with different teams&nbsp;  Participate in UAT process&nbsp;  Analyses, evaluate and communicate change requests.&nbsp;  Market analysis for similar products&nbsp;  Record requirements in using agreed tools&nbsp;   &nbsp;  &nbsp;",4+ years of experience&nbsp;  Fluent English is a must&nbsp;  Strong Analysis skills&nbsp;  Strong Communication and Presentation skills&nbsp;  Proven experience analyzing complex systems&nbsp;  Proven experience using analysis/prototyping tools&nbsp;  Proven experience analyzing backend/frontend applications&nbsp;  Medical Insurance systems experience recommended&nbsp;  Agile Scrum Methodology&nbsp;  Azure Boards&nbsp;  BSc (Honors) Computer Science or a similar degree with significant computing bias.&nbsp;  A previous role as a software engineer or developer is a must.&nbsp;  Experience developing in a software vendor environment is advantageous.&nbsp;  Financial software experience is also advantageous.&nbsp;,2026-03-15 11:58:37,https://wuzzuf.net/jobs/p/a3yf7daia6vn-senior-business-analyst-youxel-cairo-egypt,101,500,300,4.0,6.0,,,,,Cairo,Egypt
